player_name,matches_played,innings,total_runs,total_wickets,strike_rate,batting_average,economy,bowling_average,highest_score,highest_score_opponent,best_bowling,best_bowling_opponent,hundreds,fifties,teams_played
"AF Milne",10,6,23,7,74.19,5.75,9.83,48.43,15,"Chennai Super Kings",2/21,"Chennai Super Kings",NULL,NULL,"Mumbai Indians
Royal Challengers Bengaluru"
"AG Murtaza",12,3,10,9,71.43,10.00,7.32,35.78,5,"Royal Challengers Bengaluru",3/15,"Delhi Capitals",NULL,NULL,"Mumbai Indians
Pune Warriors"
"AG Paunikar",5,5,49,NULL,80.33,9.80,NULL,NULL,20,"Deccan Chargers",NULL,NULL,NULL,NULL,"Rajasthan Royals"
"AJ Finch",90,91,2092,1,123.35,25.51,9.35,67.00,88,"Delhi Capitals",1/11,"Mumbai Indians",NULL,15,"Delhi Capitals
Gujarat Lions
Kolkata Knight Riders
Mumbai Indians
Pune Warriors
Punjab Kings
Rajasthan Royals
Royal Challengers Bengaluru
Sunrisers Hyderabad"
"AJ Hosein",1,1,16,1,145.45,NULL,10.25,41.00,16,"Delhi Capitals",1/40,"Delhi Capitals",NULL,NULL,"Sunrisers Hyderabad"
"AJ Turner",6,6,24,NULL,77.42,4.80,NULL,NULL,16,"Kolkata Knight Riders",NULL,NULL,NULL,NULL,"Lucknow Super Giants
Rajasthan Royals"
"AJ Tye",30,13,91,42,115.19,11.38,8.80,23.93,25,"Mumbai Indians",5/17,"Rising Pune Supergiant",NULL,NULL,"Gujarat Lions
Punjab Kings
Rajasthan Royals"
"AK Markram",43,42,995,2,126.43,30.15,8.58,86.50,68,"Kolkata Knight Riders",1/8,"Chennai Super Kings",NULL,5,"Punjab Kings
Sunrisers Hyderabad"
"Akash Deep",8,3,19,7,158.33,9.50,11.85,46.29,17,"Kolkata Knight Riders",3/45,"Kolkata Knight Riders",NULL,NULL,"Royal Challengers Bengaluru"
"Akash Madhwal",13,1,4,19,80.00,NULL,9.87,22.68,4,"Rajasthan Royals",5/5,"Lucknow Super Giants",NULL,NULL,"Mumbai Indians"
"Akash Singh",7,NULL,NULL,5,NULL,NULL,9.87,45.40,NULL,NULL,2/40,"Rajasthan Royals",NULL,NULL,NULL
"AL Menaria",25,23,401,3,109.26,19.10,7.85,48.00,40,"Kolkata Knight Riders",2/20,"Mumbai Indians",NULL,NULL,"Rajasthan Royals"
"AM Nayar",51,50,672,9,114.29,18.67,8.46,35.89,45,"Chennai Super Kings",3/13,"Kolkata Knight Riders",NULL,NULL,"Mumbai Indians
Pune Warriors
Punjab Kings
Rajasthan Royals"
"AM Rahane",171,171,4642,1,120.32,31.15,5.00,5.00,105,"Delhi Capitals",1/5,"Punjab Kings",2,30,"Chennai Super Kings
Delhi Capitals
Kolkata Knight Riders
Mumbai Indians
Rajasthan Royals
Rising Pune Supergiant"
"AM Salvi",7,NULL,NULL,7,NULL,NULL,8.20,29.29,NULL,NULL,2/19,"Rajasthan Royals",NULL,NULL,NULL
"Aman Hakim Khan",10,10,115,NULL,105.50,12.78,13.00,NULL,51,"Gujarat Titans",0/13,"Sunrisers Hyderabad",NULL,1,"Delhi Capitals
Kolkata Knight Riders"
"AN Ahmed",17,6,36,12,133.33,36.00,8.98,42.92,18,"Royal Challengers Bengaluru",2/13,"Pune Warriors",NULL,NULL,"Mumbai Indians
Royal Challengers Bengaluru"
"AN Ghosh",2,2,7,NULL,87.50,3.50,NULL,NULL,7,"Royal Challengers Bengaluru",NULL,NULL,NULL,NULL,"Kolkata Knight Riders"
"Anand Rajan",8,NULL,NULL,8,NULL,NULL,8.30,25.75,NULL,NULL,3/27,"Mumbai Indians",NULL,NULL,NULL
"Anirudh Singh",4,4,63,NULL,91.30,15.75,NULL,NULL,40,"Royal Challengers Bengaluru",NULL,NULL,NULL,NULL,"Deccan Chargers"
"Ankit Sharma",21,10,87,12,126.09,12.43,7.41,37.75,30,"Chennai Super Kings",2/20,"Chennai Super Kings",NULL,NULL,"Deccan Chargers
Rajasthan Royals
Rising Pune Supergiant"
"Ankit Soni",6,3,7,2,77.78,3.50,7.98,72.50,7,"Mumbai Indians",1/16,"Mumbai Indians",NULL,NULL,"Gujarat Lions"
"Anmolpreet Singh",9,9,139,NULL,118.80,15.44,NULL,NULL,36,"Lucknow Super Giants",NULL,NULL,NULL,NULL,"Mumbai Indians
Sunrisers Hyderabad"
